StichtagDatJahr,AnzBestWir,AnzBestWirCH,AnzBestWirCHW,AnzBestWirCHM,AnzBestWirAUSL,AnzBestWirAUSLW,AnzBestWirAUSLM,AuslAnt
1971,412169,342244,187149,155095,69925,32596,37329,17
1972,407647,335608,184020,151588,72039,33708,38331,17.7
1973,401577,327961,180137,147824,73616,34292,39324,18.3
1974,396261,322198,177482,144716,74063,34573,39490,18.7
1975,389613,319071,175954,143117,70542,32832,37710,18.1
1976,382999,315487,174170,141317,67512,31119,36393,17.6
1977,379635,313131,172863,140268,66504,30633,35871,17.5
1978,376447,309766,171440,138326,66681,30640,36041,17.7
1979,374221,306376,169874,136502,67845,31011,36834,18.1
1980,370618,303662,167742,135920,66956,31275,35681,18.1
1981,368171,299384,165566,133818,68787,31749,37038,18.7
1982,366340,294956,163470,131486,71384,32462,38922,19.5
1983,363652,290990,161445,129545,72662,32392,40270,20
1984,361493,289085,160650,128435,72408,32150,40258,20
1985,359084,286372,159216,127156,72712,32037,40675,20.2
1986,358873,284831,158685,126146,74042,32396,41646,20.6
1987,358042,281991,157416,124575,76051,32772,43279,21.2
1988,357360,279120,156109,123011,78240,33358,44882,21.9
1989,355901,275221,154030,121191,80680,33981,46699,22.7
1990,356352,271579,152050,119529,84773,35344,49429,23.8
1991,360875,269610,150950,118660,91265,37640,53625,25.3
1992,361488,267985,148737,119248,93503,40647,52856,25.9
1993,360898,264041,146119,117922,96857,42777,54080,26.8
1994,360848,261550,144308,117242,99298,44231,55067,27.5
1995,360826,259361,142626,116735,101465,45759,55706,28.1
1996,359648,257600,140937,116663,102048,46203,55845,28.4
1997,358594,256039,139617,116422,102555,46499,56056,28.6
1998,359073,255523,138977,116546,103550,47067,56483,28.8
1999,360704,255185,138286,116899,105519,48358,57161,29.3
2000,360980,255576,138059,117517,105404,48487,56917,29.2
2001,362042,255953,137777,118176,106089,48889,57200,29.3
2002,364558,255757,137194,118563,108801,50243,58558,29.8
2003,364528,255649,136716,118933,108879,50431,58448,29.9
2004,364977,254835,136041,118794,110142,50966,59176,30.2
2005,366809,255917,136167,119750,110892,51270,59622,30.2
2006,370062,259102,137583,121519,110960,51130,59830,30
2007,376815,261436,138238,123198,115379,53343,62036,30.6
2008,380499,262595,138573,124022,117904,54261,63643,31
2009,382906,265512,139836,125676,117394,54057,63337,30.7
2010,385468,268017,140908,127109,117451,54072,63379,30.5
2011,390082,269065,141214,127851,121017,55588,65429,31
2012,394012,270855,141902,128953,123157,56584,66573,31.3
2013,398575,272705,142564,130141,125870,58196,67674,31.6
2014,404783,275649,143848,131801,129134,59841,69293,31.9
2015,410404,279236,145231,134005,131168,60830,70338,32
2016,415682,282209,146356,135853,133473,62134,71339,32.1
2017,423310,286255,148151,138104,137055,63790,73265,32.4